tremujori,npl,car,npl_kap,roa,kredi_tot,hipoteka,pp_biznes,eksp_ndertim,pbb,ndertim,repo,inflacion,hpi_vendi,hpi_tirane,kosto_ndertim,npl_logit,stok_npl,ln_stok,hip_share,ppb_share,eksp_total,repo_real,ln_hpi,ln_hpi_tr,rritje_kredi,d_covid,d_ltv
2016Q1,19.31,15.99,31.5,0.54,530775.75,103362.1,89568.34,,4.8008,-2.0374,1.75,0.6667,,,,-1.43,102492.7973,11.5375,19.4738,16.875,36.3488,1.0833,,,,0,0
2016Q2,19.96,16.08,34.98,0.85,535690.26,103792.64,88752.78,,4.8852,-6.3155,1.5,0.7333,,,,-1.3888,106923.7759,11.5799,19.3755,16.5679,35.9434,0.7667,,,,0,0
2016Q3,21.29,15.6,36.6,0.71,532778.01,104711.98,81093.79,14.5577,4.6037,-0.7763,1.5,1.9,,,,-1.3075,113428.4383,11.6389,19.654,15.2209,34.8749,-0.4,,,,0,0
2016Q4,18.27,15.71,26.27,0.74,530412.51,103941.88,84740.99,14.0279,3.7714,-1.1764,1.5,1.8667,,,,-1.4982,96906.3656,11.4815,19.5964,15.9764,35.5729,-0.3667,,,,0,0
2017Q1,17.44,15.79,24.11,1.63,530197.93,104881.05,83316.68,13.8755,3.6305,9.9442,1.5,2.3953,,,,-1.5548,92466.519,11.4346,19.7815,15.7143,35.4957,-0.8953,,,-0.1089,0,0
2017Q2,15.58,16.32,20.79,1.54,526472.47,105063.83,83548.91,13.6785,3.1463,19.8892,1.5,2.0424,,,,-1.6898,82024.4108,11.3148,19.9562,15.8696,35.8258,-0.5424,,,-1.7207,0,0
2017Q3,14.78,16.38,18.72,1.55,536698.53,107132.45,84536.68,14.1108,1.1831,7.4084,1.5,1.7262,,,,-1.752,79324.0427,11.2813,19.9614,15.7512,35.7126,-0.2262,,,0.7359,0,0
2017Q4,13.23,16.6,17.26,1.54,533522.2,107981.19,82764.16,13.8757,1.6384,4.4839,1.5,1.7842,,,,-1.8808,70584.9871,11.1646,20.2393,15.5128,35.7521,-0.2842,,,0.5863,0,0
2018Q1,13.43,16.93,18.72,1.41,531473.95,107788.43,83914.79,13.798,4.2091,6.0024,1.5,1.9154,,,96.4767,-1.8635,71376.9515,11.1757,20.281,15.7891,36.0701,-0.4154,,,0.2407,0,0
2018Q2,13.27,17.93,19.43,1.65,512649.64,107960.99,83443.44,14.0821,4.4263,-1.3526,1.0,2.19,,,96.57,-1.8773,68028.6072,11.1277,21.0594,16.2769,37.3363,-1.19,,,-2.6256,0,0
